Label,NumberSequences,Task,Realtime,%cpu,cpus
train-2,7881800,MERGED_LIB_BAM_FILTER,33060,148.9,6
train-2,985400,MERGED_LIB_BAM_FILTER,4358,141.6,6
test,63053586,MERGED_LIB_BAM_FILTER,242906,152.2,6
train-2,15763400,MERGED_LIB_BAM_REMOVE_ORPHAN,35613,122.0,6
train-2,123200,MERGED_LIB_BAM_REMOVE_ORPHAN,590,86.3,6
train-2,246400,MERGED_LIB_BAM_REMOVE_ORPHAN,864,96.5,6
train-2,3941000,MERGED_LIB_BAM_REMOVE_ORPHAN,9118,123.7,6
train-2,31526800,MERGED_LIB_BAM_REMOVE_ORPHAN,66917,125.7,6
train-2,61600,MERGED_LIB_BAM_REMOVE_ORPHAN,456,70.6,6
train-2,1970600,MERGED_LIB_BAM_REMOVE_ORPHAN,4814,118.1,6
train-2,492800,MERGED_LIB_BAM_REMOVE_ORPHAN,1451,105.8,6
train-2,7881800,MERGED_LIB_BAM_REMOVE_ORPHAN,17629,125.9,6
train-2,985400,MERGED_LIB_BAM_REMOVE_ORPHAN,2597,112.9,6
test,63053586,MERGED_LIB_BAM_REMOVE_ORPHAN,123918,128.9,6
train-2,15763400,MERGED_LIB_BIGWIG,49517,108.7,6
train-2,15763400,MERGED_LIB_MACS2,29958,117.1,6
train-2,123200,MERGED_LIB_BIGWIG,36345,100.4,6
train-2,123200,MERGED_LIB_MACS2,518,221.8,6
train-2,246400,MERGED_LIB_MACS2,723,194.9,6
train-2,246400,MERGED_LIB_BIGWIG,35758,100.4,6
train-2,15763400,MERGED_LIB_PICARD_METRICS,73222,84.5,6
train-2,123200,MERGED_LIB_PICARD_METRICS,31569,123.7,6
train-2,246400,MERGED_LIB_PICARD_METRICS,28194,134.7,6
train-2,3941000,MERGED_LIB_BIGWIG,39735,103.0,6
train-2,3941000,MERGED_LIB_MACS2,8327,110.8,6
train-2,3941000,MERGED_LIB_PICARD_METRICS,34144,126.4,6
train-2,31526800,MERGED_LIB_MACS2,56531,118.7,6
train-2,31526800,MERGED_LIB_BIGWIG,65590,115.4,6
train-2,61600,MERGED_LIB_MACS2,716,150.1,6
train-2,61600,MERGED_LIB_BIGWIG,37208,100.3,6
train-2,31526800,MERGED_LIB_PICARD_METRICS,64022,119.2,6
train-2,1970600,MERGED_LIB_MACS2,3632,136.0,6
train-2,1970600,MERGED_LIB_BIGWIG,37775,102.2,6
train-2,492800,MERGED_LIB_BIGWIG,36995,100.5,6
train-2,492800,MERGED_LIB_MACS2,1158,164.6,6
train-2,61600,MERGED_LIB_PICARD_METRICS,26588,133.8,6
train-2,1970600,MERGED_LIB_PICARD_METRICS,29882,135.9,6
train-2,492800,MERGED_LIB_PICARD_METRICS,27819,138.1,6
train-2,7881800,MERGED_LIB_BIGWIG,42854,106.2,6
train-2,7881800,MERGED_LIB_MACS2,14201,123.1,6
train-2,985400,MERGED_LIB_BIGWIG,37129,100.7,6
train-2,985400,MERGED_LIB_MACS2,1983,150.0,6
train-2,985400,MERGED_LIB_PICARD_METRICS,28531,137.3,6
train-2,15763400,MERGED_LIB_PLOTFINGERPRINT,46192,332.0,8
train-2,123200,MERGED_LIB_PLOTFINGERPRINT,22913,179.2,8
train-2,246400,MERGED_LIB_PLOTFINGERPRINT,22313,201.8,8
train-2,3941000,MERGED_LIB_PLOTFINGERPRINT,32190,339.4,8
train-2,31526800,MERGED_LIB_PLOTFINGERPRINT,49403,400.9,8
train-2,61600,MERGED_LIB_PLOTFINGERPRINT,21232,180.2,8
train-2,1970600,MERGED_LIB_PLOTFINGERPRINT,28584,303.8,8
train-2,492800,MERGED_LIB_PLOTFINGERPRINT,23271,226.8,8
train-2,7881800,MERGED_LIB_PLOTFINGERPRINT,34709,379.8,8
train-2,985400,MERGED_LIB_PLOTFINGERPRINT,25775,259.8,8
train-2,7881800,MERGED_LIB_PICARD_METRICS,38494,128.9,6
test,63053586,MERGED_LIB_PLOTFINGERPRINT,68960,461.2,8
test,63053586,MERGED_LIB_BIGWIG,92304,120.3,6
test,63053586,MERGED_LIB_MACS2,107635,118.3,6
test,63053586,MERGED_LIB_PICARD_METRICS,92141,112.9,6
train-2,15763400,MERGED_LIB_PLOTPROFILE,685198,651.1,8
train-2,15763400,MERGED_LIB_ATAQV,28716,147.9,6
train-2,15763400,MERGED_LIB_MACS2_ANNOTATE,161658,99.5,6
train-2,123200,MERGED_LIB_ATAQV,1071,192.1,6
train-2,246400,MERGED_LIB_ATAQV,1507,216.8,6
train-2,123200,MERGED_LIB_PLOTPROFILE,595701,735.1,8
train-2,246400,MERGED_LIB_MACS2_ANNOTATE,158849,99.8,6
train-2,123200,MERGED_LIB_MACS2_ANNOTATE,159424,99.8,6
train-2,246400,MERGED_LIB_PLOTPROFILE,618532,699.4,8
train-2,3941000,MERGED_LIB_PLOTPROFILE,663227,662.6,8
train-2,3941000,MERGED_LIB_ATAQV,8541,199.9,6
train-2,3941000,MERGED_LIB_MACS2_ANNOTATE,158894,99.8,6
train-2,31526800,MERGED_LIB_ATAQV,51831,143.0,6
train-2,31526800,MERGED_LIB_MACS2_ANNOTATE,161202,99.8,6
train-2,61600,MERGED_LIB_ATAQV,787,171.0,6
train-2,31526800,MERGED_LIB_PLOTPROFILE,679984,643.8,8
train-2,61600,MERGED_LIB_MACS2_ANNOTATE,160154,99.8,6
train-2,61600,MERGED_LIB_PLOTPROFILE,574277,747.1,8
train-2,1970600,MERGED_LIB_ATAQV,5198,236.4,6
train-2,1970600,MERGED_LIB_MACS2_ANNOTATE,159560,99.8,6
train-2,1970600,MERGED_LIB_PLOTPROFILE,657926,663.2,8
train-2,492800,MERGED_LIB_ATAQV,2295,232.8,6
train-2,492800,MERGED_LIB_PLOTPROFILE,606133,714.9,8
